"obs_id" "Zt" "vtime"
"1" 1 -0.189178498904983 0.1
"2" 1 -0.224158748003105 0.2
"9" 1 -0.469020491689956 0.9
"10" 1 -0.504000740788078 1
"11" 1 -0.538980989886199 1.1
"12" 1 -0.573961238984321 1.2
"14" 2 0.0969786631284961 0.2
"16" 2 0.0579316348926306 0.4
"17" 2 0.0384081207746978 0.5
"18" 2 0.018884606656765 0.6
"20" 2 -0.0201624215791005 0.8
"22" 2 -0.059209449814966 1
"24" 2 -0.0982564780508316 1.2
"25" 3 -0.050334887362789 0.1
"27" 3 -0.0970471185283725 0.3
"28" 3 -0.120403234111164 0.4
"31" 3 -0.190471580859539 0.7
"32" 3 -0.213827696442331 0.8
"33" 3 -0.237183812025123 0.9
"34" 3 -0.260539927607915 1
"35" 3 -0.283896043190707 1.1
"36" 3 -0.307252158773498 1.2
"37" 4 0.147238425479801 0.1
"38" 4 0.129785744101997 0.2
"39" 4 0.112333062724193 0.3
"42" 4 0.0599750185907807 0.6
"50" 5 -0.0914343657528739 0.2
"52" 5 -0.159684869280146 0.4
"54" 5 -0.227935372807417 0.6
"55" 5 -0.262060624571053 0.7
"63" 6 -0.586915887185216 0.3
"64" 6 -0.62443986322228 0.4
"66" 6 -0.699487815296407 0.6
"67" 6 -0.737011791333471 0.7
"68" 6 -0.774535767370535 0.8
"69" 6 -0.812059743407599 0.9
"70" 6 -0.849583719444663 1
"71" 6 -0.887107695481726 1.1
"72" 6 -0.92463167151879 1.2
"73" 7 -0.0389517383034059 0.1
"75" 7 -0.103460088275003 0.3
"76" 7 -0.135714263260801 0.4
"78" 7 -0.200222613232399 0.6
"79" 7 -0.232476788218197 0.7
"82" 7 -0.329239313175593 1
"83" 7 -0.361493488161391 1.1
"84" 7 -0.39374766314719 1.2
"87" 8 0.21618503269118 0.3
"89" 8 0.194002808715352 0.5
"90" 8 0.182911696727438 0.6
"91" 8 0.171820584739525 0.7
"98" 9 -0.262221157637804 0.2
"99" 9 -0.299689731920257 0.3
"100" 9 -0.337158306202709 0.4
"103" 9 -0.449564029050068 0.7
"112" 10 0.089697831407016 0.4
"121" 11 -0.503985584109514 0.1
"122" 11 -0.540894621118472 0.2
"123" 11 -0.57780365812743 0.3
"124" 11 -0.614712695136388 0.4
"125" 11 -0.651621732145346 0.5
"126" 11 -0.688530769154303 0.6
"127" 11 -0.725439806163261 0.7
"130" 11 -0.836166917190135 1
"131" 11 -0.873075954199093 1.1
"133" 12 0.0690908337271381 0.1
"134" 12 0.0465092624211161 0.2
"142" 12 -0.13414330802706 1
"144" 12 -0.179306450639104 1.2
"146" 13 -0.394323120016875 0.2
"147" 13 -0.432714220941605 0.3
"148" 13 -0.471105321866336 0.4
"149" 13 -0.509496422791066 0.5
"150" 13 -0.547887523715797 0.6
"151" 13 -0.586278624640527 0.7
"152" 13 -0.624669725565258 0.8
"153" 13 -0.663060826489988 0.9
"154" 13 -0.701451927414718 1
"155" 13 -0.739843028339449 1.1
"156" 13 -0.778234129264179 1.2
"158" 14 -0.0623563693956932 0.2
"159" 14 -0.08717898121424 0.3
"161" 14 -0.136824204851334 0.5
"164" 14 -0.211292040306974 0.8
"165" 14 -0.236114652125521 0.9
"167" 14 -0.285759875762615 1.1
"168" 14 -0.310582487581162 1.2
"169" 15 0.166342412027874 0.1
"170" 15 0.150050207109453 0.2
"171" 15 0.133758002191032 0.3
"172" 15 0.117465797272611 0.4
"173" 15 0.10117359235419 0.5
"174" 15 0.0848813874357692 0.6
"175" 15 0.0685891825173483 0.7
"176" 15 0.0522969775989275 0.8
"177" 15 0.0360047726805066 0.9
"183" 16 -0.504619970522043 0.3
"184" 16 -0.539654142233166 0.4
"185" 16 -0.574688313944289 0.5
"187" 16 -0.644756657366534 0.7
"188" 16 -0.679790829077657 0.8
"189" 16 -0.71482500078878 0.9
"190" 16 -0.749859172499903 1
"192" 16 -0.819927515922148 1.2
"194" 17 -0.151289427504048 0.2
"195" 17 -0.172469786905921 0.3
"197" 17 -0.214830505709667 0.5
"199" 17 -0.257191224513413 0.7
"200" 17 -0.278371583915286 0.8
"201" 17 -0.299551943317159 0.9
"202" 17 -0.320732302719032 1
"204" 17 -0.363093021522778 1.2
"205" 18 0.323972398194141 0.1
"206" 18 0.314947253305833 0.2
"207" 18 0.305922108417525 0.3
"208" 18 0.296896963529217 0.4
"217" 19 0.429225168005575 0.1
"218" 19 0.405290880540466 0.2
"221" 19 0.333488018145139 0.5
"225" 19 0.237750868284702 0.9
"226" 19 0.213816580819593 1
"229" 20 0.309599310264358 0.1
"232" 20 0.292393750610954 0.4
"233" 20 0.286658564059819 0.5
"244" 21 -0.242949689624744 0.4
"245" 21 -0.274516210774891 0.5
"247" 21 -0.337649253075185 0.7
"248" 21 -0.369215774225332 0.8
"250" 21 -0.432348816525626 1
"251" 21 -0.463915337675773 1.1
"252" 21 -0.495481858825919 1.2
"254" 22 -0.237204369708576 0.2
"255" 22 -0.270780269985355 0.3
"256" 22 -0.304356170262134 0.4
"258" 22 -0.371507970815693 0.6
"259" 22 -0.405083871092472 0.7
"261" 22 -0.47223567164603 0.9
"264" 22 -0.572963372476368 1.2
"266" 23 -0.264707970288999 0.2
"273" 23 -0.558243131049497 0.9
"274" 23 -0.600176725443853 1
"277" 24 0.290192444480157 0.1
"278" 24 0.277661723808856 0.2
"279" 24 0.265131003137555 0.3
"282" 24 0.227538841123652 0.6
